Gene,UniProt,Sample_type,Tissue,Species,Repository,Reference,Confidence_Score,Description,Coverage_Map_File,Total_Ion_Intensity
Lama5,Q61001,Bronchoalveolar lavage of fibrotic lung,Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,100033,Laminin subunit alpha-5,Bronchoalveolar lavage of fibrotic lung_Q61001.html,52775200
Lama5,Q61001,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,100033,Laminin subunit alpha-5,Fibrotic lung ECM (Quantitative detergent solubility profiling)_Q61001.html,2.92E+11
HSPG2,P98160,Asymptomatic carotid (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,78110.2,Basement membrane-specific heparan sulfate proteoglycan core protein,Asymptomatic carotid (Insoluble ECM protein fraction)_P98160.html,0
HSPG2,P98160,Asymptomatic carotid (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,78110.2,Basement membrane-specific heparan sulfate proteoglycan core protein,Asymptomatic carotid (Soluble protein fraction)_P98160.html,0
HSPG2,P98160,Normal Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,78110.2,Basement membrane-specific heparan sulfate proteoglycan core protein,Normal Saphenous Vein (Insoluble protein fraction)_P98160.html,6443169800
HSPG2,P98160,Normal Saphenous Vein (Soluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,78110.2,Basement membrane-specific heparan sulfate proteoglycan core protein,Normal Saphenous Vein (Soluble protein fraction)_P98160.html,115146000
HSPG2,P98160,Proteins from human vascular SMCs in culture,Blood vessel,human,PXD005130,10.1172/JCI86924,78110.2,Basement membrane-specific heparan sulfate proteoglycan core protein,Proteins from human vascular SMCs in culture_P98160.html,0
HSPG2,P98160,Retinal vascular basement membrane,Blood vessel,human,PXD001025,10.1021/pr5002065,78110.2,Basement membrane-specific heparan sulfate proteoglycan core protein,Retinal vascular basement membrane_P98160.html,927614980
HSPG2,P98160,Symptomatic carotid stenosis (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,78110.2,Basement membrane-specific heparan sulfate proteoglycan core protein,Symptomatic carotid stenosis (Insoluble ECM protein fraction)_P98160.html,0
HSPG2,P98160,Symptomatic carotid stenosis (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,78110.2,Basement membrane-specific heparan sulfate proteoglycan core protein,Symptomatic carotid stenosis (Soluble protein fraction)_P98160.html,0
HSPG2,P98160,Varicose Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,78110.2,Basement membrane-specific heparan sulfate proteoglycan core protein,Varicose Saphenous Vein (Insoluble protein fraction)_P98160.html,5546480100
HSPG2,P98160,Varicose Saphenous Vein (Soluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,78110.2,Basement membrane-specific heparan sulfate proteoglycan core protein,Varicose Saphenous Vein (Soluble protein fraction)_P98160.html,246362000
Lama3,Q61789,Bronchoalveolar lavage of fibrotic lung,Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,74158.2,Laminin subunit alpha-3,Bronchoalveolar lavage of fibrotic lung_Q61789.html,183570000
Lama3,Q61789,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,74158.2,Laminin subunit alpha-3,Fibrotic lung ECM (Quantitative detergent solubility profiling)_Q61789.html,2.44E+11
Serpina1a,P07758,Bronchoalveolar lavage of fibrotic lung,Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,68106.2,Alpha-1-antitrypsin 1-1,Bronchoalveolar lavage of fibrotic lung_P07758.html,6.67E+11
Serpina1a,P07758,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,68106.2,Alpha-1-antitrypsin 1-1,Fibrotic lung ECM (Quantitative detergent solubility profiling)_P07758.html,1.76E+11
Lamb2,Q61292,Bronchoalveolar lavage of fibrotic lung,Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,62352.8,Laminin subunit beta-2,Bronchoalveolar lavage of fibrotic lung_Q61292.html,24044400
Lamb2,Q61292,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,62352.8,Laminin subunit beta-2,Fibrotic lung ECM (Quantitative detergent solubility profiling)_Q61292.html,2.53E+11
Nid1,P10493,Bronchoalveolar lavage of fibrotic lung,Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,50958.5,Nidogen-1,Bronchoalveolar lavage of fibrotic lung_P10493.html,95600496
Nid1,P10493,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,50958.5,Nidogen-1,Fibrotic lung ECM (Quantitative detergent solubility profiling)_P10493.html,2.00E+11
FGG,P02679,Asymptomatic carotid (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,48625.2,Fibrinogen gamma chain,Asymptomatic carotid (Insoluble ECM protein fraction)_P02679.html,0
FGG,P02679,Asymptomatic carotid (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,48625.2,Fibrinogen gamma chain,Asymptomatic carotid (Soluble protein fraction)_P02679.html,0
FGG,P02679,Normal Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,48625.2,Fibrinogen gamma chain,Normal Saphenous Vein (Insoluble protein fraction)_P02679.html,739073020
FGG,P02679,Normal Saphenous Vein (Soluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,48625.2,Fibrinogen gamma chain,Normal Saphenous Vein (Soluble protein fraction)_P02679.html,597195010
FGG,P02679,Proteins from human vascular SMCs in culture,Blood vessel,human,PXD005130,10.1172/JCI86924,48625.2,Fibrinogen gamma chain,Proteins from human vascular SMCs in culture_P02679.html,0
